"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"203196","0.881088296572333","0.65","33","(interacts)","PG_aa_C34:0 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PG_aa_C34:0 ((interacts)) PC_aa_C40:4"
"203585",,"0.64","33","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C40:4"
"194039",,"0.63","33","(interacts)","N-C10:1-Cer(2H) ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","N-C10:1-Cer(2H) ((interacts)) PC_aa_C40:4"
"204055",,"0.63","33","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:6",,"1","1","false","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:6"
"204689","0.4503368735315","0.61","33","(interacts)","PC_ae_C38:2 ((interacts)) PC_aa_C40:6",,"1","1","false","(interacts)","PC_ae_C38:2 ((interacts)) PC_aa_C40:6"
"187032",,"0.64","33","(interacts)","N-C26:1-Cer(2H) ((interacts)) PC_aa_C40:6",,"1","1","false","(interacts)","N-C26:1-Cer(2H) ((interacts)) PC_aa_C40:6"
"202332",,"0.63","33","(interacts)","N-C22:0-Cer(2H) ((interacts)) PC_aa_C40:6",,"1","1","false","(interacts)","N-C22:0-Cer(2H) ((interacts)) PC_aa_C40:6"
"205627",,"0.65","33","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C40:5"
"203822",,"0.61","33","(interacts)","PG_ae_C32:0 ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","PG_ae_C32:0 ((interacts)) PC_aa_C40:5"
"188331",,"0.61","33","(interacts)","N-C20:0-Cer(2H) ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","N-C20:0-Cer(2H) ((interacts)) PC_aa_C40:5"
"194526",,"0.65","33","(interacts)","N-C20:0(OH)-Cer ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","N-C20:0(OH)-Cer ((interacts)) PC_aa_C40:5"
"190971",,"0.64","33","(interacts)","PC_ae_C32:0 ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","PC_ae_C32:0 ((interacts)) PC_aa_C40:8"
"203584",,"0.64","33","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C40:7",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_aa_C40:7"
"203068",,"0.64","33","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C40:8"
"213908",,"0.63","33","(interacts)","PE_ae_C42:1 ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","PE_ae_C42:1 ((interacts)) PC_aa_C40:8"
"203949",,"0.61","33","(interacts)","LPG_e_C14:2 ((interacts)) PC_aa_C40:7",,"1","1","false","(interacts)","LPG_e_C14:2 ((interacts)) PC_aa_C40:7"
"196766",,"0.63","33","(interacts)","PE_aa_C48:1 ((interacts)) PC_aa_C40:7",,"1","1","false","(interacts)","PE_aa_C48:1 ((interacts)) PC_aa_C40:7"
"187257",,"0.63","33","(interacts)","SM_C26:3 ((interacts)) PC_aa_C40:7",,"1","1","false","(interacts)","SM_C26:3 ((interacts)) PC_aa_C40:7"
"205626",,"0.64","33","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C40:7",,"1","1","false","(interacts)","PG_ae_C34:1 ((interacts)) PC_aa_C40:7"
"198050",,"0.63","33","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C40:8"
"205222",,"0.61","33","(interacts)","N-C28:1-Cer(2H) ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C28:1-Cer(2H) ((interacts)) PC_aa_C40:8"
"204251",,"0.65","33","(interacts)","PC_ae_C38:5 ((interacts)) PC_ae_C32:0",,"1","1","false","(interacts)","PC_ae_C38:5 ((interacts)) PC_ae_C32:0"
"211856",,"0.61","33","(interacts)","PC_ae_C36:5 ((interacts)) PC_ae_C32:0",,"1","1","false","(interacts)","PC_ae_C36:5 ((interacts)) PC_ae_C32:0"
"193237",,"0.64","33","(interacts)","N-C12:0-Cer ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C12:0-Cer ((interacts)) PC_aa_C40:8"
"205442",,"0.62","33","(interacts)","N-C10:0-Cer ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C10:0-Cer ((interacts)) PC_aa_C40:8"
"202552",,"0.62","33","(interacts)","N-C28:0(OH)-Cer ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C28:0(OH)-Cer ((interacts)) PC_aa_C40:8"
"188142",,"0.61","33","(interacts)","N-C12:1-Cer(2H) ((interacts)) PC_aa_C40:8",,"1","1","false","(interacts)","N-C12:1-Cer(2H) ((interacts)) PC_aa_C40:8"
"194976",,"0.65","33","(interacts)","N-C24:0-Cer(2H) ((interacts)) PC_ae_C32:6",,"1","1","false","(interacts)","N-C24:0-Cer(2H) ((interacts)) PC_ae_C32:6"
"185993",,"0.65","33","(interacts)","N-C16:0(OH)-Cer(2H) ((interacts)) PC_ae_C32:6",,"1","1","false","(interacts)","N-C16:0(OH)-Cer(2H) ((interacts)) PC_ae_C32:6"
