"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"413","PE_ae_C46:5 (interacts) PG_aa_C36:3","interacts","0.74","PE_ae_C46:5 (interacts) PG_aa_C36:3","false","interacts","PE_ae_C46:5 (interacts) PG_aa_C36:3"
"414","PE_ae_C46:5 (interacts) PS_aa_C42:2","interacts","0.83","PE_ae_C46:5 (interacts) PS_aa_C42:2","false","interacts","PE_ae_C46:5 (interacts) PS_aa_C42:2"
"415","PE_ae_C46:5 (interacts) PS_aa_C42:4","interacts","0.95","PE_ae_C46:5 (interacts) PS_aa_C42:4","false","interacts","PE_ae_C46:5 (interacts) PS_aa_C42:4"
"416","PE_ae_C46:5 (interacts) SM_C20:1","interacts","0.79","PE_ae_C46:5 (interacts) SM_C20:1","false","interacts","PE_ae_C46:5 (interacts) SM_C20:1"
"417","PE_ae_C46:5 (interacts) N-C10:0(OH)-Cer(2H)","interacts","0.84","PE_ae_C46:5 (interacts) N-C10:0(OH)-Cer(2H)","false","interacts","PE_ae_C46:5 (interacts) N-C10:0(OH)-Cer(2H)"
"418","PE_ae_C46:5 (interacts) N-C10:1-Cer","interacts","0.77","PE_ae_C46:5 (interacts) N-C10:1-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C10:1-Cer"
"419","PE_ae_C46:5 (interacts) N-C12:1-Cer","interacts","0.8","PE_ae_C46:5 (interacts) N-C12:1-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C12:1-Cer"
"420","PE_ae_C46:5 (interacts) N-C14:0-Cer","interacts","0.89","PE_ae_C46:5 (interacts) N-C14:0-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C14:0-Cer"
"421","PE_ae_C46:5 (interacts) N-C18:0-Cer","interacts","0.78","PE_ae_C46:5 (interacts) N-C18:0-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C18:0-Cer"
"422","PE_ae_C46:5 (interacts) N-C20:1-Cer(2H)","interacts","0.87","PE_ae_C46:5 (interacts) N-C20:1-Cer(2H)","false","interacts","PE_ae_C46:5 (interacts) N-C20:1-Cer(2H)"
"423","PE_ae_C46:5 (interacts) N-C22:0-Cer","interacts","0.77","PE_ae_C46:5 (interacts) N-C22:0-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C22:0-Cer"
"424","PE_ae_C46:5 (interacts) N-C22:1-Cer","interacts","0.77","PE_ae_C46:5 (interacts) N-C22:1-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C22:1-Cer"
