"SUID","canonicalName","Cooccurrence","Coregulation","CoregulationBin","interaction","interactionStrength","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"199921","","0.0759863965212","0.65","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C40:4",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C40:4"
"199922","","0.091131567955","0.62","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C40:6",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C40:6"
"199923","","0.1486717201765","0.62","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C40:4",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C40:4"
"199924","","0.1110139973461","0.61","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C36:1",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C36:1"
"199925","","0.1548510789875","0.65","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C40:5",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C40:5"
"199926","","0.81867628981331","0.96","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C34:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C34:2"
"199927","","0.746698397610857","0.96","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:6",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:6"
"199928","","0.81021842257731","0.98","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C36:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C36:2"
"199929","","0.851049153969241","0.94","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C34:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C34:2"
"199930","","0.916974746045619","0.9","","(interacts)",,"PS_aa_C36:3 ((interacts)) PS_aa_C34:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PS_aa_C34:2"
"199931","","0.826977635252103","0.95","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C36:4",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C36:4"
"199932","","0.831212956329793","0.94","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C36:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C36:3"
"199933","","0.70425696138825","0.89","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C40:7",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C40:7"
"199934","","0.615023177117208","0.9","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C40:6",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C40:6"
"199935","","0.908370348913966","0.86","","(interacts)",,"PS_aa_C36:3 ((interacts)) PS_aa_C36:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PS_aa_C36:2"
"199936","","0.757794852767607","0.9","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C38:4",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C38:4"
"199937","","0.793636755696655","0.91","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C38:5",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C38:5"
"199938","","0.803317641770333","0.91","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C36:4",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C36:4"
"199939","","0.739492666262769","0.98","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C36:5",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C36:5"
"199940","","0.789356299808929","0.97","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C34:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C34:3"
"199941","","0.5898467570543","0.91","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C34:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C34:1"
"199942","","0.81980773498269","0.94","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:5",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:5"
"199943","","0.834568175776241","0.93","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C36:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C36:3"
"199944","","0.548553533278923","0.92","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C36:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C36:1"
"199945","",,"0.84","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:0",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:0"
"199946","","0.812534904685517","0.85","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C34:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C34:1"
"199947","","0.80039915134169","0.84","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C38:6",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C38:6"
"199948","","0.815117465011069","0.83","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:4",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:4"
"199949","","0.813514904729241","0.78","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C34:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C34:3"
"199950","","0.748515306875621","0.76","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:2"
"199951","",,"0.79","","(interacts)",,"PS_aa_C36:3 ((interacts)) PG_aa_C34:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PG_aa_C34:2"
"199952","","0.5533179264101","0.77","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C38:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C38:2"
"199953","","0.776400032742276","0.87","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:3"
"199954","","0.69752725804669","0.86","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:1"
"199955","","0.777832760893","0.9","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C40:5",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C40:5"
"199956","","0.745447516441","0.9","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C38:7",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C38:7"
"199957","","0.700629793364448","0.82","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C40:5",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C40:5"
"199958","","0.721824929631966","0.85","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C40:6",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C40:6"
"199959","","0.638078720441857","0.88","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_aa_C34:0",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_aa_C34:0"
"199960","","0.767024313861727","0.85","","(interacts)",,"PS_aa_C36:3 ((interacts)) PG_aa_C36:2",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PG_aa_C36:2"
"199961","","0.87443198623331","0.67","","(interacts)",,"PS_aa_C36:3 ((interacts)) PS_aa_C34:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PS_aa_C34:1"
"199962","","0.745041797558407","0.66","","(interacts)",,"PS_aa_C36:3 ((interacts)) PE_ae_C38:3",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PE_ae_C38:3"
"199963","","0.538402989507","0.71","","(interacts)",,"PS_aa_C36:3 ((interacts)) PG_aa_C36:1",,"","","false","(interacts)","PS_aa_C36:3 ((interacts)) PG_aa_C36:1"
